Result;Nodes;nbGames;Depth;sizeGrid
-1;576;42;1;15
-1;244;9;1;15
-1;373;16;1;15
-1;643;48;1;15
-1;567;39;1;15
-1;624;56;1;15
-1;675;38;1;15
1;680;49;1;15
1;586;48;1;15
-1;579;38;1;15
1;7006;65;2;15
1;10446;54;2;15
1;10630;48;2;15
0;9943;59;2;15
1;9834;41;2;15
-1;8666;36;2;15
1;9039;56;2;15
-1;10232;50;2;15
1;11006;48;2;15
-1;5892;9;2;15
-1;83263;11;3;15
1;140703;44;3;15
-1;125663;53;3;15
-1;144868;38;3;15
1;133988;43;3;15
-1;173797;55;3;15
-1;172139;50;3;15
-1;165550;44;3;15
0;141585;46;3;15
-1;138676;64;3;15
-1;659;51;1;15
-1;607;59;1;15
-1;643;42;1;15
-1;554;30;1;15
-1;520;55;1;15
0;699;58;1;15
-1;578;48;1;15
0;657;58;1;15
1;648;52;1;15
-1;573;52;1;15
-1;8723;46;2;15
-1;10946;53;2;15
1;10310;50;2;15
0;9016;56;2;15
-1;9221;53;2;15
1;10605;47;2;15
0;9806;54;2;15
0;5768;59;2;15
-1;6571;52;2;15
-1;10420;48;2;15
1;165420;49;3;15
-1;132051;61;3;15
1;130123;53;3;15
-1;155286;60;3;15
-1;139905;40;3;15
-1;126763;52;3;15
-1;147504;63;3;15
-1;90013;14;3;15
1;149924;56;3;15
-1;121780;58;3;15
